date,code,main_amount,main_percent
2025-01-05,sz000683,9438162.0,4.66
2025-01-05,sz002997,9411343.0,11.73
2025-01-05,sz300147,9377101.0,1.24
2025-01-05,sz002137,9372280.0,2.18
2025-01-05,sz300170,9323238.0,1.71
2025-01-05,sz002338,9282008.0,5.33
2025-01-05,sz301297,9271724.0,5.55
2025-01-05,sz002221,9267444.0,13.88
2025-01-05,sh605136,9203143.0,5.58
2025-01-05,sh600549,9166061.0,6.85
2025-01-05,sh601088,9161248.0,1.61
2025-01-05,sh601601,9001445.0,1.93
2025-01-05,sh603890,8930134.0,0.8
2025-01-05,sh601607,8847827.0,4.81
2025-01-05,sh600123,8806606.0,11.35
2025-01-05,sh600320,8744736.0,12.59
2025-01-05,sh601669,8681380.0,3.21
2025-01-05,sz300959,8681072.0,1.9
2025-01-05,sz300206,8650362.0,10.3
2025-01-05,sh600256,8421603.0,5.17
2025-01-05,sh600356,8401401.0,24.46
2025-01-05,sz002467,8373411.0,3.58
2025-01-05,sh603809,8344485.0,7.16
2025-01-05,sz000786,8326454.0,1.46
2025-01-05,sh600982,8303394.0,10.69
2025-01-05,sh600863,8188424.0,5.12
2025-01-05,sz002713,8132490.0,4.6
2025-01-05,sz002312,8131594.0,0.85
2025-01-05,sz000788,8103527.0,4.54
2025-01-05,sh600885,8087050.0,6.55
2025-01-05,sz300571,8085401.0,15.68
2025-01-05,sh600351,8067992.0,10.36
2025-01-05,sh603843,8064878.0,12.25
2025-01-05,sz002611,8033654.0,2.36
2025-01-05,sz000425,8024314.0,2.54
2025-01-05,sz300715,7995801.0,6.83
2025-01-05,sz300086,7987626.0,7.64
2025-01-05,sh600938,7968507.0,1.02
2025-01-05,sz300128,7952952.0,7.82
2025-01-05,sz002056,7945337.0,6.99
2025-01-05,sz002354,7930550.0,1.68
2025-01-05,sz300199,7888121.0,1.45
2025-01-05,sh603171,7886471.0,12.23
2025-01-05,sh603667,7880460.0,2.54
2025-01-05,sz300391,7870746.0,6.95
2025-01-05,sz000429,7849708.0,5.39
2025-01-05,sh600901,7848749.0,4.89
2025-01-05,sz300153,7848625.0,2.14
2025-01-05,sz002109,7834973.0,19.95
2025-01-05,sz002180,7804753.0,3.67
2025-01-05,sh600961,7792445.0,4.71
2025-01-05,sz002313,7755666.0,3.86
2025-01-05,sz300016,7712751.0,16.95
2025-01-05,sh600873,7694287.0,5.7
2025-01-05,sh600323,7623908.0,7.94
2025-01-05,sz002862,7602606.0,3.65
2025-01-05,sh600503,7596897.0,9.02
2025-01-05,sz300583,7552102.0,15.1
2025-01-05,sz002400,7466109.0,1.1
2025-01-05,sz002075,7441573.0,2.92
2025-01-05,sz300811,7345296.0,4.3
2025-01-05,sz300018,7301530.0,11.11
2025-01-05,sz002383,7297301.0,6.79
2025-01-05,sz301301,7293093.0,3.87
2025-01-05,sh600858,7230033.0,6.97
2025-01-05,sz002579,7217627.0,8.34
2025-01-05,sh603008,7197769.0,10.66
2025-01-05,sz300988,7188112.0,17.14
2025-01-05,sz000719,7132445.0,8.15
2025-01-05,sz300540,7072163.0,4.7
2025-01-05,sz000813,7071411.0,5.21
2025-01-05,sz300645,6987827.0,19.14
2025-01-05,sz300091,6975627.0,12.64
2025-01-05,sh600722,6960442.0,5.58
2025-01-05,sz300857,6960127.0,1.29
2025-01-05,sz000893,6921808.0,5.16
2025-01-05,sz002021,6897245.0,6.1
2025-01-05,sh600872,6856855.0,6.31
2025-01-05,sh603439,6807246.0,6.89
2025-01-05,sz002176,6802221.0,4.51
2025-01-05,sh601231,6766811.0,3.43
2025-01-05,sh603612,6719563.0,2.53
2025-01-05,sz002723,6707878.0,14.57
2025-01-05,sz300146,6705441.0,8.15
2025-01-05,sh601801,6681879.0,6.94
2025-01-05,sh600732,6639829.0,1.91
2025-01-05,sz300102,6633737.0,4.13
2025-01-05,sz002567,6633715.0,6.34
2025-01-05,sz002125,6616358.0,6.51
2025-01-05,sh600029,6614948.0,3.47
2025-01-05,sz002318,6606732.0,5.71
2025-01-05,sz002533,6606232.0,9.32
2025-01-05,sz002455,6585450.0,8.61
2025-01-05,sh600983,6467832.0,24.56
2025-01-05,sz300984,6460943.0,9.68
2025-01-05,sh603586,6451275.0,21.21
2025-01-05,sz301396,6393403.0,6.33
2025-01-05,sz000572,6343694.0,7.56
2025-01-05,sh600936,6333376.0,22.19
2025-01-05,sh603365,6324116.0,11.18
2025-01-05,sz301207,6294459.0,5.69
2025-01-05,sz002170,6289728.0,6.89
2025-01-05,sz300448,6277281.0,7.34
2025-01-05,sh600173,6272310.0,48.77
2025-01-05,sh605158,6259306.0,9.3
2025-01-05,sz000708,6218672.0,6.11
2025-01-05,sz300584,6214278.0,6.42
2025-01-05,sz000592,6195060.0,1.33
2025-01-05,sz300633,6194130.0,5.29
2025-01-05,sz002506,6165209.0,2.65
2025-01-05,sz300042,6148999.0,2.03
2025-01-05,sh601390,6140261.0,2.01
2025-01-05,sz300450,6133239.0,2.86
2025-01-05,sh601126,6117233.0,6.73
2025-01-05,sh603486,6102276.0,6.92
2025-01-05,sz002203,6099167.0,8.17
2025-01-05,sh600601,6096420.0,1.52
2025-01-05,sz000676,6041384.0,3.49
2025-01-05,sz300562,5986463.0,4.32
2025-01-05,sz002066,5961249.0,8.31
2025-01-05,sz000536,5956949.0,3.16
2025-01-05,sz002202,5953012.0,3.93
2025-01-05,sz002988,5946429.0,9.61
2025-01-05,sz002922,5936226.0,2.34
2025-01-05,sz000776,5935655.0,1.82
2025-01-05,sh603278,5917455.0,8.55
2025-01-05,sz002371,5904411.0,0.53
2025-01-05,sh603301,5902554.0,15.61
2025-01-05,sh600115,5884070.0,3.63
2025-01-05,sz002423,5827907.0,3.02
2025-01-05,sz300331,5827235.0,8.07
2025-01-05,sz300065,5822327.0,7.51
2025-01-05,sh601236,5819087.0,1.66
2025-01-05,sz002311,5813904.0,3.26
2025-01-05,sz301413,5764392.0,8.65
2025-01-05,sz002350,5726062.0,2.62
2025-01-05,sz300781,5718735.0,3.5
2025-01-05,sz300969,5712326.0,10.51
2025-01-05,sz002019,5679163.0,7.86
2025-01-05,sh601038,5662512.0,7.38
2025-01-05,sz002445,5636588.0,7.9
2025-01-05,sz002073,5627274.0,4.17
2025-01-05,sh600989,5597123.0,3.05
2025-01-05,sz001328,5595476.0,4.88
2025-01-05,sz002431,5531733.0,13.92
2025-01-05,sh600217,5494697.0,12.14
2025-01-05,sh603786,5483893.0,15.31
2025-01-05,sz301050,5442157.0,3.12
2025-01-05,sz000078,5435619.0,5.66
2025-01-05,sz002687,5397838.0,20.35
2025-01-05,sh600714,5366977.0,4.41
2025-01-05,sz300299,5327927.0,4.58
2025-01-05,sz002953,5323183.0,3.67
2025-01-05,sz000155,5276965.0,2.83
