date,code,name,main_amount,main_percent
2025-01-03,sz002397,梦洁股份,20693820.0,8.6
2025-01-03,sh601086,国芳集团,20543127.0,4.19
2025-01-03,sh600128,苏豪弘业,20414643.0,17.38
2025-01-03,sz002390,信邦制药,20280172.0,6.16
2025-01-03,sz002983,芯瑞达,20277200.0,12.92
2025-01-03,sz002077,大港股份,19841238.0,3.4
2025-01-03,sh603320,迪贝电气,19807061.0,33.8
2025-01-03,sz000685,中山公用,19794721.0,13.62
2025-01-03,sz301077,星华新材,19774410.0,12.26
2025-01-03,sz002713,东易日盛,19553461.0,55.35
2025-01-03,sh600203,福日电子,19536249.0,3.85
2025-01-03,sh601225,陕西煤业,19516692.0,2.04
2025-01-03,sh603766,隆鑫通用,19490845.0,5.32
2025-01-03,sz000630,铜陵有色,19375997.0,2.4
2025-01-03,sz300087,荃银高科,19340179.0,4.32
2025-01-03,sh600575,淮河能源,19335892.0,3.14
2025-01-03,sh603179,新泉股份,19299226.0,8.47
2025-01-03,sz000831,中国稀土,19078681.0,3.1
2025-01-03,sz000708,中信特钢,19005972.0,6.93
2025-01-03,sz300705,九典制药,18904328.0,3.81
2025-01-03,sh600743,华远地产,18855772.0,5.88
2025-01-03,sz002580,圣阳股份,18724899.0,3.33
2025-01-03,sh605016,百龙创园,18566516.0,15.1
2025-01-03,sh601156,东航物流,18560539.0,8.1
2025-01-03,sz301259,艾布鲁,18389628.0,17.92
2025-01-03,sz002847,盐津铺子,17943560.0,6.61
2025-01-03,sh603786,科博达,17808367.0,13.72
2025-01-03,sz000017,深中华A,17788216.0,4.68
2025-01-03,sh603016,新宏泰,17611009.0,11.71
2025-01-03,sz001308,康冠科技,17438416.0,3.96
2025-01-03,sz300572,安车检测,17218584.0,18.01
2025-01-03,sz300752,隆利科技,17213209.0,11.93
2025-01-03,sh603920,世运电路,17197128.0,3.19
2025-01-03,sh601872,招商轮船,17075910.0,4.71
2025-01-03,sz300128,锦富技术,16978494.0,7.33
2025-01-03,sh603121,华培动力,16977279.0,6.85
2025-01-03,sz300326,凯利泰,16684075.0,13.58
2025-01-03,sz300733,西菱动力,16468399.0,11.69
2025-01-03,sz002032,苏 泊 尔,16134159.0,7.28
2025-01-03,sz002204,大连重工,16125598.0,4.77
2025-01-03,sz002514,宝馨科技,16106214.0,3.66
2025-01-03,sh600549,厦门钨业,15764975.0,6.13
2025-01-03,sz000893,亚钾国际,15755028.0,9.31
2025-01-03,sh601088,中国神华,15616915.0,1.53
2025-01-03,sh603826,坤彩科技,15514923.0,6.52
2025-01-03,sz002532,天山铝业,15457881.0,2.24
2025-01-03,sz001206,依依股份,15378988.0,8.26
2025-01-03,sh600219,南山铝业,15373615.0,2.55
2025-01-03,sz300472,新元科技,15365575.0,10.15
2025-01-03,sh600741,华域汽车,15291636.0,6.09
2025-01-03,sh601998,中信银行,15273371.0,2.8
2025-01-03,sh600873,梅花生物,15216678.0,5.79
2025-01-03,sz300890,翔丰华,15186699.0,5.55
2025-01-03,sz002745,木林森,15131198.0,3.71
2025-01-03,sz002728,特一药业,15113313.0,4.15
2025-01-03,sz003002,壶化股份,15031313.0,14.21
2025-01-03,sz002011,盾安环境,15005769.0,7.84
2025-01-03,sz000739,普洛药业,14892800.0,5.92
2025-01-03,sz002021,中捷资源,14819963.0,6.02
2025-01-03,sz300647,超频三,14800338.0,6.48
2025-01-03,sh600397,安源煤业,14764113.0,1.83
2025-01-03,sz300272,开能健康,14667409.0,9.42
2025-01-03,sz300280,紫天科技,14615010.0,1.47
2025-01-03,sz002274,华昌化工,14519688.0,11.9
2025-01-03,sh600088,中视传媒,14350459.0,5.76
2025-01-03,sh603663,三祥新材,14223698.0,4.17
2025-01-03,sh600698,湖南天雁,14007815.0,5.5
2025-01-03,sz002028,思源电气,13721965.0,3.24
2025-01-03,sz002885,京泉华,13686114.0,3.0
2025-01-03,sh600027,华电国际,13643752.0,4.55
2025-01-03,sh601366,利群股份,13489710.0,11.73
2025-01-03,sh600361,创新新材,13450151.0,6.94
2025-01-03,sz000812,陕西金叶,13101603.0,7.22
2025-01-03,sh603868,飞科电器,12991579.0,11.95
2025-01-03,sz002221,东华能源,12987975.0,8.01
2025-01-03,sh603341,龙旗科技,12976091.0,4.15
2025-01-03,sz300477,合纵科技,12970291.0,10.81
2025-01-03,sh600613,神奇制药,12937658.0,12.21
2025-01-03,sz300684,中石科技,12921384.0,3.4
2025-01-03,sz300256,星星科技,12889654.0,2.15
2025-01-03,sz002066,瑞泰科技,12868702.0,7.79
2025-01-03,sz000965,天保基建,12842962.0,15.48
2025-01-03,sz300956,英力股份,12776366.0,3.67
2025-01-03,sh603323,苏农银行,12745087.0,7.45
2025-01-03,sh603612,索通发展,12697339.0,3.79
2025-01-03,sz002305,南国置业,12640071.0,7.89
2025-01-03,sz003001,中岩大地,12576933.0,12.91
2025-01-03,sz301355,南王科技,12502947.0,11.84
2025-01-03,sz002219,新里程,12221360.0,4.54
2025-01-03,sz300901,中胤时尚,12187063.0,11.77
2025-01-03,sz003023,彩虹集团,12186640.0,9.89
2025-01-03,sh600189,泉阳泉,12152851.0,14.21
2025-01-03,sh600392,盛和资源,12113521.0,4.45
2025-01-03,sz301421,波长光电,12028463.0,2.27
2025-01-03,sh600563,法拉电子,12009628.0,5.32
2025-01-03,sz000651,格力电器,11907888.0,0.49
2025-01-03,sh603193,润本股份,11799953.0,11.96
2025-01-03,sh600408,安泰集团,11759539.0,13.41
2025-01-03,sz002151,北斗星通,11696820.0,6.7
2025-01-03,sz000683,远兴能源,11672199.0,3.99
2025-01-03,sh600877,电科芯片,11609839.0,6.52
2025-01-03,sz002584,西陇科学,11590936.0,5.25
2025-01-03,sz300010,豆神教育,11566161.0,1.28
2025-01-03,sz002644,佛慈制药,11484740.0,13.74
2025-01-03,sz300632,光莆股份,11470666.0,8.9
2025-01-03,sh600761,安徽合力,11439582.0,2.92
2025-01-03,sz002671,龙泉股份,11399054.0,16.01
2025-01-03,sz301233,盛帮股份,11245010.0,9.4
2025-01-03,sh605228,神通科技,11102989.0,6.98
2025-01-03,sz000155,川能动力,11069025.0,3.76
2025-01-03,sh603499,翔港科技,11061554.0,11.13
2025-01-03,sz000402,金 融 街,11049669.0,8.41
2025-01-03,sz000571,新大洲A,11027830.0,8.72
2025-01-03,sz300645,正元智慧,11024146.0,15.07
2025-01-03,sz002932,明德生物,10813580.0,13.0
2025-01-03,sz001229,魅视科技,10759560.0,10.07
2025-01-03,sz000619,海螺新材,10740513.0,3.29
2025-01-03,sz000913,钱江摩托,10712876.0,3.81
2025-01-03,sh600884,杉杉股份,10682948.0,7.56
2025-01-03,sh600080,金花股份,10621916.0,9.66
2025-01-03,sz300132,青松股份,10485695.0,19.76
2025-01-03,sz002561,徐家汇,10478340.0,3.18
2025-01-03,sz002068,黑猫股份,10476360.0,3.07
2025-01-03,sh600722,金牛化工,10461457.0,8.96
2025-01-03,sz000898,鞍钢股份,10419134.0,10.26
2025-01-03,sh603619,中曼石油,10394158.0,3.83
2025-01-03,sz000533,顺钠股份,10306832.0,0.6
2025-01-03,sz301067,显盈科技,10253551.0,1.83
2025-01-03,sz002203,海亮股份,10134908.0,8.41
2025-01-03,sz002042,华孚时尚,9935418.0,4.65
2025-01-03,sz000639,西王食品,9895800.0,5.48
2025-01-03,sz002931,锋龙股份,9863743.0,3.99
2025-01-03,sh601668,中国建筑,9782585.0,0.91
2025-01-03,sz301155,海力风电,9770296.0,4.98
2025-01-03,sz300667,必创科技,9721067.0,6.1
2025-01-03,sz301187,欧圣电气,9704040.0,4.32
2025-01-03,sh600537,亿晶光电,9688132.0,9.08
2025-01-03,sh601020,华钰矿业,9574269.0,3.15
2025-01-03,sh600712,南宁百货,9516013.0,3.14
2025-01-03,sz000883,湖北能源,9482660.0,5.22
2025-01-03,sz301089,拓新药业,9454487.0,7.98
2025-01-03,sh600217,中再资环,9444707.0,10.46
2025-01-03,sh603183,建研院,9425667.0,21.13
2025-01-03,sh603299,苏盐井神,9398616.0,3.09
2025-01-03,sz002293,罗莱生活,9388685.0,7.29
2025-01-03,sz000001,平安银行,9387234.0,0.71
2025-01-03,sz301093,华兰股份,9343509.0,15.37
2025-01-03,sz002432,九安医疗,9286246.0,4.37
2025-01-03,sz002102,能特科技,9265718.0,11.91
2025-01-03,sz300980,祥源新材,9236274.0,7.64
2025-01-03,sh605123,派克新材,9235316.0,15.45
2025-01-03,sz002991,甘源食品,9212915.0,7.2
2025-01-03,sh600714,金瑞矿业,9115558.0,6.29
2025-01-03,sz300119,瑞普生物,9086545.0,5.24
2025-01-03,sh603228,景旺电子,9051931.0,1.45
2025-01-03,sz000962,东方钽业,9041417.0,2.94
2025-01-03,sh603095,越剑智能,9031045.0,7.26
2025-01-03,sz002380,科远智慧,8966307.0,7.84
2025-01-03,sz300969,恒帅股份,8921476.0,5.71
2025-01-03,sh600585,海螺水泥,8845369.0,2.52
2025-01-03,sz300269,联建光电,8742186.0,7.01
2025-01-03,sh600734,实达集团,8740519.0,4.95
2025-01-03,sh600226,亨通股份,8703258.0,8.51
2025-01-03,sh600328,中盐化工,8670162.0,4.66
2025-01-03,sh603101,汇嘉时代,8669292.0,9.83
2025-01-03,sz300650,太龙股份,8649998.0,8.99
2025-01-03,sz001222,源飞宠物,8630320.0,5.4
2025-01-03,sh603286,日盈电子,8549824.0,4.4
2025-01-03,sz002568,百润股份,8507130.0,2.44
2025-01-03,sh600916,中国黄金,8399195.0,4.37
2025-01-03,sh603268,松发股份,8345351.0,9.55
2025-01-03,sh600169,太原重工,8338950.0,7.71
2025-01-03,sh605376,博迁新材,8312658.0,7.42
2025-01-03,sz300599,雄塑科技,8132252.0,11.37
2025-01-03,sz300121,阳谷华泰,8126273.0,4.72
2025-01-03,sz000932,华菱钢铁,8058123.0,2.26
2025-01-03,sz300911,亿田智能,8002683.0,8.77
