date,code,main_amount,main_percent
2024-12-25,sz300543,9216384.0,1.8
2024-12-25,sz000999,9204098.0,3.66
2024-12-25,sz003000,9051609.0,6.5
2024-12-25,sh603657,8957822.0,3.32
2024-12-25,sz301592,8932625.0,3.53
2024-12-25,sh600955,8779788.0,8.05
2024-12-25,sz301073,8774820.0,7.59
2024-12-25,sz000959,8774049.0,13.32
2024-12-25,sh601619,8760824.0,7.09
2024-12-25,sz300627,8705239.0,4.22
2024-12-25,sz301266,8681845.0,6.39
2024-12-25,sz300832,8673032.0,4.81
2024-12-25,sz300251,8640602.0,2.03
2024-12-25,sz002739,8589869.0,3.37
2024-12-25,sz000423,8561570.0,3.02
2024-12-25,sh600480,8459909.0,3.72
2024-12-25,sz000712,8417983.0,1.14
2024-12-25,sh600623,8314742.0,8.94
2024-12-25,sz002133,8313764.0,14.97
2024-12-25,sz300360,8311849.0,7.07
2024-12-25,sh603777,8273572.0,1.55
2024-12-25,sz300257,8272218.0,11.68
2024-12-25,sz002471,8267203.0,6.98
2024-12-25,sz300550,8207770.0,10.58
2024-12-25,sh603218,8207241.0,6.91
2024-12-25,sh600500,8206105.0,11.06
2024-12-25,sh600857,8193181.0,7.59
2024-12-25,sh603191,8192028.0,6.24
2024-12-25,sh600160,8082363.0,1.44
2024-12-25,sz300204,8048969.0,5.47
2024-12-25,sz000729,8039541.0,5.08
2024-12-25,sz300645,8016306.0,8.41
2024-12-25,sz002798,7986702.0,10.91
2024-12-25,sz002960,7938272.0,8.89
2024-12-25,sh601677,7924382.0,4.45
2024-12-25,sz002427,7828529.0,8.28
2024-12-25,sh600060,7820191.0,3.17
2024-12-25,sz002039,7811568.0,11.02
2024-12-25,sh603533,7739474.0,1.28
2024-12-25,sh600143,7707694.0,1.42
2024-12-25,sz301175,7688859.0,5.65
2024-12-25,sh600875,7674294.0,1.2
2024-12-25,sz300326,7634782.0,5.66
2024-12-25,sh601333,7580397.0,4.48
2024-12-25,sh603816,7573969.0,5.3
2024-12-25,sh603637,7553255.0,11.79
2024-12-25,sz002372,7476013.0,8.34
2024-12-25,sh601996,7448319.0,13.69
2024-12-25,sz002815,7404807.0,1.33
2024-12-25,sz000705,7402818.0,7.59
2024-12-25,sz300007,7377405.0,0.89
2024-12-25,sh603507,7359960.0,6.81
2024-12-25,sz002249,7295427.0,2.12
2024-12-25,sz301149,7285686.0,16.46
2024-12-25,sz300737,7279802.0,7.84
2024-12-25,sz300962,7257948.0,4.12
2024-12-25,sh603922,7228168.0,9.21
2024-12-25,sz002170,7159495.0,4.59
2024-12-25,sz300562,7153692.0,2.0
2024-12-25,sz002956,7123504.0,5.14
2024-12-25,sh601869,7122819.0,2.46
2024-12-25,sz301027,7121515.0,7.44
2024-12-25,sz000596,7082180.0,3.68
2024-12-25,sz300404,7062528.0,4.69
2024-12-25,sh603960,6964140.0,2.11
2024-12-25,sz300109,6954751.0,2.8
2024-12-25,sz300321,6952163.0,10.02
2024-12-25,sh600210,6878670.0,3.4
2024-12-25,sh603896,6872996.0,15.65
2024-12-25,sh600765,6828537.0,1.77
2024-12-25,sh603398,6821554.0,1.97
2024-12-25,sh601956,6784895.0,17.27
2024-12-25,sz002988,6725333.0,6.46
2024-12-25,sz301377,6691347.0,5.65
2024-12-25,sh603360,6689027.0,4.91
2024-12-25,sz301289,6686820.0,4.85
2024-12-25,sz002859,6586531.0,8.45
2024-12-25,sh603379,6574733.0,2.51
2024-12-25,sz002498,6564641.0,10.21
2024-12-25,sz002984,6562458.0,3.08
2024-12-25,sh603737,6558441.0,4.93
2024-12-25,sz301069,6556810.0,3.83
2024-12-25,sz000882,6544362.0,1.82
2024-12-25,sz002882,6520128.0,8.65
2024-12-25,sz300629,6519073.0,4.04
2024-12-25,sz002926,6434045.0,5.3
2024-12-25,sh600172,6428062.0,0.9
2024-12-25,sz002789,6427170.0,3.2
2024-12-25,sz002782,6386424.0,2.1
2024-12-25,sz300590,6383416.0,0.83
2024-12-25,sz002185,6381575.0,0.65
2024-12-25,sz000756,6376756.0,2.79
2024-12-25,sh603929,6356179.0,5.67
2024-12-25,sz300984,6353205.0,3.24
2024-12-25,sh603179,6314350.0,4.67
2024-12-25,sz002299,6247927.0,4.8
2024-12-25,sh603197,6186592.0,5.92
2024-12-25,sz300480,6144106.0,11.95
2024-12-25,sz000708,6092468.0,6.65
2024-12-25,sz300021,6072219.0,5.21
2024-12-25,sh600838,6046842.0,1.65
2024-12-25,sh603486,6028186.0,2.41
2024-12-25,sz002328,5973159.0,6.74
2024-12-25,sh603917,5941836.0,5.37
2024-12-25,sz300885,5939165.0,11.06
2024-12-25,sz300559,5907597.0,9.89
2024-12-25,sz301060,5897517.0,7.39
2024-12-25,sz301120,5872387.0,10.99
